"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","10n","","","","hellen-one-common:C0603",""
"C2,C5,C6,C18,C19,C55","6","100n","","","","hellen-one-common:C0603",""
"C4","1","1n","","","","hellen-one-common:C0603",""
"C7","1","22u","","","","hellen-one-common:C0603",""
"C8,C9,C17,C20,C21","5","1n 250V","","","","hellen-one-common:C0603",""
"C22","1","470uF","","","","Capacitor_SMD:CP_Elec_10x10.5","~"
"C45,C46,C47,C48,C49,C50,C51,C52,C53,C54","10","10u","","","","hellen-one-common:C0805",""
"D1,D2,D3,D5,D6,D7,D8,D21,D22,D24,D37,D38,D41,D42,D45,D46,D53","17","1N4148WS","","","","hellen-one-common:SOD-323",""
"D4,D10,D33,D34,D35,D36","6","LED-WHITE-0603","","","","hellen-one-common:LED-0603",""
"D9,D13,D14,D15,D16,D17,D31,D32,D39,D40,D43,D44,D47,D48,D56,D57","16","LED-RED-0603","","","","hellen-one-common:LED-0603",""
"D18,D19,D23,D55,D58","5","BAT54S","","","","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf"
"D20","1","LED-GREEN-0603","","","","hellen-one-common:LED-0603",""
"D25,D28,D29","3","PSM712-LF","","","","hellen-one-common:SOT-23","https://datasheet.lcsc.com/lcsc/1811061632_ProTek-Devices-PSM712-LF-T7_C32677.pdf"
"D26,D27,D49,D50,D51,D52,D64,D65,D66,D67,D68,D69,D70,D71,D72","15","B5819W","","","","hellen-one-common:SOD-123",""
"F1,F2,F8,F9,F10,F11","6","nSMD005","","","","hellen-one-common:PAD-1206-PAD",""
"F3,F4,F7","3","nSMD050","","","","hellen-one-common:PAD-1206-PAD",""
"F5,F6","2","12H1500D","","","","hellen-one-common:PAD-1206-PAD",""
"G1","1","RUSEFI_LOGO","","","","kicad6-libraries:rusefi_logo",""
"G3","1","LOGO","","","","hellen-one-common:LOGO",""
"G4","1","LOGO_AlphaECU","","","","kicad6-libraries:alphax_logo_AlphaECU",""
"G5","1","LOGO_AlphaX","","","","kicad6-libraries:alphax_logo_AlphaX",""
"G6","1","ALPHAX_QR_CODE","","","","kicad6-libraries:alphax_qr_code","www.alphaxpr.com"
"G7","1","Disclaimer","","","","kicad6-libraries:Off_Road_Disclaimer",""
"J1","1","USB_C_Receptacle_USB2.0","","","","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Cortex_Debug","","","","hellen-one-common:PinHeader_2x05_P1.27mm_Vertical_SMD","~"
"J3,J4","2","Conn_01x01","","","","TestPoint:TestPoint_Pad_D2.0mm","~"
"J5","1","Conn_01x05_Male","","","","Connector_Molex:Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical","~"
"J6","1","430451012","","","","Connector_Molex:Molex_Micro-Fit_3.0_43045-1012_2x05_P3.00mm_Vertical","~"
"J7,J8","2","Conn_01x01","","","","MountingHole:MountingHole_4.5mm_Pad","~"
"M1","1","Module-power_12and5V-0.2","","","","hellen-one-power_12and5V-0.2:power_12and5V",""
"M2,M6","2","Module-ign8-0.2","","","","hellen-one-ign8-0.2:ign8",""
"M3,M8","2","Module-vr-discrete-0.4","","","","hellen-one-vr-discrete-0.4:vr-discrete",""
"M4","1","Module-mega-mcu144-0.5","","","","hellen-one-mega-mcu144-0.5:mega-mcu144",""
"M9","1","Module-knock-0.2","","","","hellen-one-knock-0.2:knock",""
"P1","1","HCCPHPE24BKA90F","","","","kicad6-libraries:33311-24AW-2","DOCUMENTATION"
"P2","1","HCCPHPE24BGYB90F","","","","kicad6-libraries:33311-24AW-2","DOCUMENTATION"
"P4,P16,P17,P18,P19,P21,P22,P23,P24,P25,P26,P27,P28","13","Pad","","","","hellen-one-common:PAD-TH","~"
"Q1,Q3,Q4,Q8,Q9,Q10,Q11,Q12,Q17,Q20,Q22,Q23,Q24,Q27,Q29,Q31,Q51","17","AO3400A","","","","hellen-one-common:SOT-23",""
"Q2,Q16","2","PJM2319PSA","","","","Package_TO_SOT_SMD:SOT-23","https://datasheet.lcsc.com/lcsc/1912111437_PJSEMI-PJM2319PSA_C411720.pdf"
"Q6,Q7,Q26,Q30,Q41,Q42,Q43,Q44,Q45,Q46,Q47,Q48","12","VND14NV04-E","","","","hellen-one-common:DPAK","https://www.infineon.com/dgdl/Infineon-AUIPS2041-DS-v01_00-EN.pdf?fileId=5546d4625a888733015aae147a9d4c57"
"Q13,Q14,Q18,Q19,Q21,Q25,Q28,Q35,Q36,Q49,Q50,Q52,Q53","13","AO3401A","","","","hellen-one-common:SOT-23","https://datasheet.lcsc.com/lcsc/1810171817_Alpha-&-Omega-Semicon-AO3401A_C15127.pdf"
"R1,R2,R5,R26,R50,R51","6","4.7k","","","","hellen-one-common:R0603-4",""
"R3,R6","2","5.6k","","","","hellen-one-common:R0603",""
"R4,R18,R19,R34,R1126,R1131,R1135,R1136,R1139,R1141","10","2k","","","","Resistor_SMD:R_1206_3216Metric",""
"R7,R8,R14,R20,R27,R29,R30,R38,R39,R41,R42,R43,R44,R52,R53,R54,R55,R57,R86,R87,R88,R98,R99,R1100,R1101,R1102,R1103,R1104,R1105,R1106,R1107,R1108,R1109,R1110,R1111,R1112,R1113,R1125,R1127,R1128,R1129,R1132,R1137,R1138,R1140","45","4.7k","","","","hellen-one-common:R0603",""
"R9,R10,R11,R12,R21,R22,R23,R24,R35,R36,R37,R47,R72,R73","14","4.7k","","","","Resistor_SMD:R_1206_3216Metric",""
"R13,R15,R48,R75,R89","5","~","DNP","Excluded from BOM","","hellen-one-common:R0603",""
"R16","1","10k","","","","hellen-one-common:R0603",""
"R17","1","33k","","","","hellen-one-common:R0603",""
"R25","1","470","","","","hellen-one-common:R0805",""
"R28,R78,R79,R80","4","1.2k","","","","hellen-one-common:R0603",""
"R31,R32","2","2.7k","","","","hellen-one-common:R0603",""
"R33","1","220","","","","hellen-one-common:R0805",""
"R40","1","SMD1206B035TF/16","DNP","Excluded from BOM","","Resistor_SMD:R_1206_3216Metric",""
"R45","1","750","","","","hellen-one-common:R0805",""
"R46,R74,R76,R93","4","680k","","","","hellen-one-common:R0603",""
"R49","1","1k","","","","hellen-one-common:R0603-4",""
"R56","1","Jumper-Pad-Pad","DNP","Excluded from BOM","","hellen-one-common:PAD-0805-PAD",""
"R58","1","6.8k","","","","hellen-one-common:R0603",""
"R81,R82,R83,R84,R85","5","3.3k","","","","hellen-one-common:R0603",""
"R91","1","Jumper-Pad-Pad","","","","hellen-one-common:PAD-0805-PAD",""
"U1","1","MAX9924UAUB+","","","","Package_SO:MSOP-10_3x3mm_P0.5mm","https://datasheet.lcsc.com/lcsc/1811091110_Maxim-Integrated-MAX9924UAUB-_C143633.pdf"
"U3","1","MPXH6400A","","","","hellen-one-common:MPXH6400A-SSOP8",""
"U4","1","JDY-33","","","","kicad6-libraries:JDY-33","https://datasheet.lcsc.com/lcsc/2106070033_QIACHIP-WL9981TC_C2689544.pdf"
"U7","1","TLE9201SG","","","","Package_SO:Infineon_PG-DSO-12-11",""
